Age,mu_1905,mu_1906,mu_1907,mu_1908,mu_1909,mu_1910,mu_1911,mu_1912,mu_1913,mu_1914,mu_1915,mu_1916,mu_1917,mu_1918,mu_1919,mu_1920,mu_1921,mu_1922,mu_1923,mu_1924,mu_1925,mu_1926,mu_1927,mu_1928,mu_1929,mu_1930,mu_1931,mu_1932,mu_1933,mu_1934,mu_1935,mu_1936,mu_1937,mu_1938,mu_1939,mu_1940
41,0.010566314,0.010650767,0.01057155,0.010116237,0.010002944,0.009227317,0.008659044,0.008465248,0.008430222,0.008844843,0.010065057,0.008552844,0.009150834,0.012215494,0.008361434,0.006475627,0.007130529,0.007492251,0.006895118,0.007074371,0.006994986,0.006743165,0.007299627,0.006679671,0.007570748,0.006350131,0.006439962,0.005927601,0.006413356,0.005739877,0.005602464,0.005538298,0.005776262,0.005233577,0.005085364,0.006570585
42,0.011108299,0.011263925,0.011180121,0.010698456,0.010578609,0.009758127,0.009235467,0.00902439,0.008978135,0.009402544,0.010543715,0.009052029,0.009613133,0.012388579,0.00880513,0.006936932,0.007483,0.007836493,0.007262786,0.007447832,0.007452773,0.007124351,0.007717702,0.00708766,0.008086216,0.0067262,0.006912861,0.006340178,0.006881927,0.006122441,0.005983128,0.005903474,0.006227984,0.005620244,0.005476448,0.006978516
43,0.01171669,0.011895601,0.011825981,0.011324663,0.01124398,0.010391288,0.009880603,0.009681243,0.009630886,0.009976731,0.011065356,0.009588815,0.010058866,0.012810595,0.009241721,0.00746642,0.007858499,0.00825706,0.007691681,0.007885728,0.007902836,0.007555009,0.008179487,0.00752395,0.008596249,0.007205863,0.007428468,0.00682698,0.007412436,0.006619289,0.006481481,0.006372351,0.006686253,0.006061133,0.005927739,0.007500572
44,0.012358936,0.012572797,0.012519327,0.011997297,0.011960899,0.011074345,0.010601477,0.010415701,0.010360742,0.010616774,0.011644244,0.010200503,0.010570367,0.013300568,0.009741665,0.008066338,0.008271937,0.008720593,0.008165007,0.008368964,0.008399672,0.008020996,0.008678943,0.0079964,0.009149145,0.007728312,0.008017094,0.007383051,0.00801851,0.007187483,0.007051687,0.006901984,0.007202702,0.006558958,0.006438037,0.008089241
45,0.0129278,0.013368803,0.013333503,0.01278678,0.012800465,0.011873462,0.01156069,0.011388486,0.011327545,0.011482428,0.012451065,0.011025099,0.011286371,0.014027923,0.010433764,0.00884976,0.008883793,0.009397357,0.008843607,0.009062347,0.009109142,0.008515441,0.009208567,0.008498272,0.009737372,0.008287974,0.008740081,0.008065414,0.00876219,0.007883597,0.007749755,0.007370198,0.007649493,0.006997587,0.006893548,0.008600966
46,0.013711392,0.014138765,0.014124413,0.013555119,0.013625446,0.012661775,0.012412247,0.012259706,0.012193202,0.01222718,0.013105558,0.011727715,0.011860542,0.014557224,0.01099879,0.009551434,0.009253693,0.009822027,0.009290573,0.009518075,0.009581385,0.00899376,0.009720097,0.008985124,0.010310058,0.008841941,0.009408975,0.008700655,0.009455091,0.008538982,0.008410307,0.008028191,0.00828703,0.00761542,0.007529324,0.009328767
47,0.014581912,0.014956787,0.014966113,0.014373377,0.014507341,0.01350572,0.013296291,0.013167234,0.013094852,0.012990751,0.013760118,0.012478413,0.012467698,0.015106951,0.011598124,0.010307059,0.009633094,0.010259919,0.009754476,0.009990943,0.010072204,0.0094929,0.010253483,0.009493864,0.010909578,0.009426508,0.010085929,0.009346072,0.010159473,0.009209562,0.009088276,0.008751643,0.008984475,0.008294167,0.008229909,0.010125907
48,0.015461229,0.01587006,0.015879959,0.015250753,0.015392958,0.014329753,0.014088709,0.013922273,0.013898199,0.013909914,0.014714995,0.013325501,0.013218876,0.015741535,0.012290362,0.010956186,0.010226531,0.01082074,0.010216835,0.010481665,0.010537882,0.010019502,0.010810379,0.010084595,0.011585017,0.010025448,0.010737674,0.009987458,0.010825713,0.009935447,0.009790259,0.009523698,0.009760322,0.009012069,0.008998682,0.010997161
49,0.016401552,0.01682414,0.016834639,0.0161673,0.016318121,0.015190527,0.014924256,0.01471623,0.014746947,0.01488974,0.015731763,0.014280178,0.01406574,0.016458064,0.013070758,0.011687797,0.010924225,0.011484265,0.010768492,0.011065876,0.011094405,0.010603513,0.011427816,0.010740766,0.012335294,0.010690916,0.011394265,0.010638397,0.011498152,0.010683446,0.01051212,0.010359543,0.010598716,0.009787983,0.009834944,0.011938398
50,0.017515814,0.017695949,0.017706998,0.017004782,0.017163484,0.015977007,0.015813763,0.015559434,0.015652064,0.015942746,0.016823442,0.015407225,0.015069676,0.0173214,0.013996145,0.01255353,0.011430743,0.011939895,0.011118381,0.011444408,0.011441859,0.011203819,0.012061294,0.011421676,0.013113587,0.011382581,0.012058728,0.01130187,0.012179885,0.011456943,0.011257131,0.011522798,0.011768598,0.010870238,0.010990945,0.013252638
